OTU	NSF14.NOVI.PM9	NSF14.NOVI.PM13	NSF22.NOVI.1M20	NSF14.NOVI.1M18	NSF14.NOVI.PM6	NSF22.NOVI.1M18	NSF14.NOVI.PM21	NSF14.NOVI.PM15	NSF14.NOVI.PM11	NSF22.NOVI.PM25	NSF14.NOVI.PM7	NSF14.NOVI.1M23	NSF14.NOVI.PM10	NSF14.NOVI.PM16	NSF14.NOVI.PM12	NSF6.NOVI.PM19	NSF22.NOVI.1M16	NSF22.NOVI.1M22	NSF22.NOVI.4M3	NSF22.NOVI.3M4	NSF6.NOVI.4M2	NSF6.NOVI.3M3	NSF22.NOVI.5M5	NSF14.NOVI.4M3	NSF14.NOVI.3M4	NSF14.NOVI.5M5	NSF14.NOVI.5M1	NSF14.NOVI.6M3
00579bd7411b49075df018e7a6367c01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00e150269ecc665d692a72b837db1043	199.551401869159	1208.22429906542	77.9766355140187	0	57.6728971962617	339.271028037383	1253.18224299065	100.757009345794	34.892523364486	1677.28504672897	345.196261682243	0	7.25700934579439	3607.92990654206	36.6588785046729	29.3177570093458	8041.63084112149	174.803738317757	343.084112149533	71.9392523364486	0	0	357.140186915888	43.6915887850467	0	0	0	2.49532710280374
00f31abc7cdc4b21954e4dcd1f87c422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010227743a7a896e9b13b4a0b858f5ef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0104bd43ee50519180b2940a08e495f8	0	0	0	0	0	0	0	0	0	0	0	0	3.32857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010a68105932d88b4ba25e954570f1cb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
020643eb1a0c7f8d60f1c1ea687f7c06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0226e17918578c57b9c1e3c0dec2ce51	0	0	0	0	0	355.932530120482	0	0	0	576.609638554217	0	0	0	0	0	0	6894.6265060241	148.730120481928	60.7734939759036	13.910843373494	0	0	195.556626506024	0	0	0	0	0
026b137ceb23fadad8d4917352470ce9	0	0	0	0	0	0	0	0	52.71	0	0	0	165.666666666667	1470.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028593a9ad87a957f8d1a6b0ba550c71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02ca048f22fccf96ca553ea4ab903f16	0	0	0	0	0	37.5915915915916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
030c33bd1fe417e19d57a8d5499d7c6f	488.04	0	0	0	0	0	0	0	0	0	138.51	0	0	413.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03144a3f5d639d4de42fa07527452428	0	0	0	0	0	0	0	0	0	0	56.8246153846154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
033fd5969b7694ae4aec3e71975ddbdf	0	0	0	0	0	0	0	0	8.21028037383178	0	0	0	0	257.710280373832	10.9953271028037	16.7523364485981	0	441.378504672897	0	0	0	0	0	0	0	0	0	0
03496a3f7dcbeefb48313d87836888ca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
036066a3c2bbfd357d1e5ab4cdee1a3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
037a3212f5266acc8a2acf8e931325fd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03a1f2a253e2bb6a98e63effa0d193e9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03a533c87ed1b0a0fbae13482427dd15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03d501d858b10220f8f56ab401f8b410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
