OTU	NSF14.NOVI.1M21	NSF14.NOVI.PM18	NSF14.NOVI.1M22	NSF14.NOVI.PM9	NSF14.NOVI.PM23	NSF14.NOVI.PM17	NSF14.NOVI.PM20	NSF14.NOVI.1M45	NSF14.NOVI.1M32	NSF14.NOVI.PM35	NSF14.NOVI.1M34	NSF14.NOVI.1M7	NSF14.NOVI.PM42	NSF14.NOVI.1M36	NSF14.NOVI.PM28	NSF14.NOVI.1M8	NSF14.NOVI.PM13	NSF14.NOVI.1M26	NSF14.NOVI.PM27	NSF14.NOVI.1M24	NSF14.NOVI.1M18	NSF14.NOVI.PM29	NSF14.NOVI.PM45	NSF14.NOVI.PM30	NSF14.NOVI.1M31	NSF14.NOVI.PM34	NSF14.NOVI.1M14	NSF14.NOVI.PM6	NSF14.NOVI.1M38	NSF14.NOVI.PM41	NSF14.NOVI.1M27	NSF14.NOVI.PM19	NSF14.NOVI.1M28	NSF14.NOVI.PM44	NSF14.NOVI.PM21	NSF14.NOVI.PM15	NSF14.NOVI.1PM1	NSF14.NOVI.1M40	NSF14.NOVI.PM31	NSF14.NOVI.PM11	NSF14.NOVI.1M42	NSF14.NOVI.1M29	NSF14.NOVI.PM25	NSF14.NOVI.PM7	NSF14.NOVI.PM40	NSF14.NOVI.PM37	NSF14.NOVI.1M39	NSF14.NOVI.PM38	NSF14.NOVI.1M44	NSF14.NOVI.1M23	NSF14.NOVI.1M33	NSF14.NOVI.PM32	NSF14.NOVI.PM39	NSF14.NOVI.PM10	NSF14.NOVI.PM22	NSF14.NOVI.PM16	NSF14.NOVI.1M16	NSF14.NOVI.PM12	NSF14.NOVI.1M12	NSF14.NOVI.PM43	NSF14.NOVI.PM24	NSF14.NOVI.PM26	NSF14.NOVI.1M6	NSF14.NOVI.1M13	NSF14.NOVI.1M9	NSF14.NOVI.1M37	NSF14.NOVI.1M19	NSF14.NOVI.1M17	NSF14.NOVI.1M11	NSF14.NOVI.1M41	NSF14.NOVI.5M8	NSF14.NOVI.1M43	NSF14.NOVI.4M12	NSF14.NOVI.2M9	NSF14.NOVI.3M7	NSF14.NOVI.6M8	NSF14.NOVI.4M9	NSF14.NOVI.4M15	NSF14.NOVI.4M10	NSF14.NOVI.3M13	NSF14.NOVI.2M7	NSF14.NOVI.3M9	NSF14.NOVI.3M11	NSF14.NOVI.2M13	NSF14.NOVI.2M15	NSF14.NOVI.3M15	NSF14.NOVI.2M12	NSF14.NOVI.3M8	NSF14.NOVI.3M12	NSF14.NOVI.2M6	NSF14.NOVI.2M14	NSF14.NOVI.3M14	NSF14.NOVI.3M10	NSF14.NOVI.4M13	NSF14.NOVI.3M6	NSF14.NOVI.2M8	NSF14.NOVI.7M8	NSF14.NOVI.2M11	NSF14.NOVI.4M8	NSF14.NOVI.4M11	NSF14.NOVI.4M7	NSF14.NOVI.1M2	NSF14.NOVI.1M4	NSF14.NOVI.1M3	NSF14.NOVI.PM4	NSF14.NOVI.PM3	NSF14.NOVI.1M5	NSF14.NOVI.6M4	NSF14.NOVI.4M1	NSF14.NOVI.4M3	NSF14.NOVI.4M5	NSF14.NOVI.4M2	NSF14.NOVI.5M3	NSF14.NOVI.3M4	NSF14.NOVI.5M5	NSF14.NOVI.5M1	NSF14.NOVI.2M2	NSF14.NOVI.3M2	NSF14.NOVI.7M2	NSF14.NOVI.3M3	NSF14.NOVI.2M1	NSF14.NOVI.5M2	NSF14.NOVI.5M4	NSF14.NOVI.3M5	NSF14.NOVI.7M3	NSF14.NOVI.6M2	NSF14.NOVI.3M1	NSF14.NOVI.6M5	NSF14.NOVI.2M5	NSF14.NOVI.4M4	NSF14.NOVI.2M3	NSF14.NOVI.2M4	NSF14.NOVI.6M1	NSF14.NOVI.6M3
1f0b50f8d81f2dd093a91fecba21bd21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1f0d6bed1fd6914baa6fdcd62e240969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1f119540d655f865beab28cc7bf9709b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.2266666666667	0	0	0	4.8	0	0	0	0	0	0	0	15.1033333333333	0	0	0	34.01	0	0	0	14.44	3.50333333333333	6.23666666666667	10.69
1f1e1cd433effa8792de85b69c153672	0	0	0	0	38.455	0	0	0	0	0	0	0	53.15	0	9.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.415	0	0	1740.325	0	0	0	0	32.945	0	0	11.81	0	0	29.955	0	0	0	0	0	0	0	0	38.92	0	0	0	0	542.095	0	49.875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1f2fd1b6d4bd2adef91065af76efebae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1944.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1f43d3efe3db5cd72e071c44a2e5a25d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5944444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155.672222222222	0	0	0	323.661111111111	0	0	0	0	0	116.555555555556	0	0	0	0	0	0	0	0	0	0	1890.82222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423.305555555556	0	0	0	0	0	0	0	0	4.01111111111111	0	0	0
1f491a6081ff2ba92d560da39542cb36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1f75fe4ce821ac953fb66e3379980b55	0	0	99.4866666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1fa7c745a99c5fba629ad52a6953d8f4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1fb2d3a83e36dec237af58e2d7185a30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.955	0	0	0	0	0	22.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.725	0	0	0	5.3	0	0	0	0	0	0	0	0	0
