OTU	NSF22.NOVI.7M9	NSF6.NOVI.1M13	NSF22.NOVI.6M10	NSF22.NOVI.1M15	NSF6.NOVI.PM12	NSF22.NOVI.5M13	NSF22.NOVI.8M6	NSF22.NOVI.1M9	NSF6.NOVI.PM15	NSF14.NOVI.PM9	NSF6.NOVI.1M14	NSF6.NOVI.1M9	NSF22.NOVI.8M8	NSF22.NOVI.6M15	NSF22.NOVI.5M14	NSF22.NOVI.1M6	NSF6.NOVI.PM13	NSF6.NOVI.1M12	NSF22.NOVI.3M6	NSF22.NOVI.8M11	NSF22.NOVI.7M6	NSF14.NOVI.1M7	NSF6.NOVI.1M15	NSF22.NOVI.2M11	NSF22.NOVI.6M14	NSF22.NOVI.5M15	NSF6.NOVI.PM14	NSF22.NOVI.8M9	NSF22.NOVI.7M11	NSF22.NOVI.7M8	NSF22.NOVI.1M13	NSF22.NOVI.6M13	NSF22.NOVI.2M7	NSF22.NOVI.PM11	NSF14.NOVI.1M8	NSF6.NOVI.1M6	NSF22.NOVI.5M12	NSF22.NOVI.1M8	NSF14.NOVI.PM13	NSF6.NOVI.PM7	NSF22.NOVI.5M7	NSF22.NOVI.4M11	NSF6.NOVI.1M10	NSF22.NOVI.4M7	NSF22.NOVI.6M8	NSF22.NOVI.6M6	NSF22.NOVI.3M12	NSF22.NOVI.6M12	NSF6.NOVI.1M11	NSF6.NOVI.PM6	NSF14.NOVI.1M14	NSF14.NOVI.PM6	NSF22.NOVI.6M9	NSF22.NOVI.PM9	NSF22.NOVI.2M13	NSF22.NOVI.7M7	NSF22.NOVI.2M8	NSF22.NOVI.8M13	NSF22.NOVI.7M15	NSF22.NOVI.1M7	NSF22.NOVI.3M7	NSF6.NOVI.PM11	NSF6.NOVI.PM9	NSF6.NOVI.1M7	NSF22.NOVI.PM6	NSF14.NOVI.PM15	NSF22.NOVI.3M11	NSF22.NOVI.2M14	NSF22.NOVI.6M11	NSF22.NOVI.2M6	NSF22.NOVI.8M14	NSF14.NOVI.PM11	NSF22.NOVI.PM8	NSF14.NOVI.PM7	NSF6.NOVI.PM10	NSF22.NOVI.PM10	NSF22.NOVI.8M15	NSF22.NOVI.8M7	NSF22.NOVI.8M10	NSF22.NOVI.PM7	NSF22.NOVI.2M10	NSF22.NOVI.2M9	NSF22.NOVI.7M10	NSF22.NOVI.7M14	NSF22.NOVI.4M9	NSF22.NOVI.5M9	NSF22.NOVI.PM14	NSF22.NOVI.4M15	NSF22.NOVI.3M14	NSF22.NOVI.1M14	NSF14.NOVI.PM10	NSF22.NOVI.3M13	NSF22.NOVI.4M10	NSF22.NOVI.PM13	NSF22.NOVI.2M12	NSF22.NOVI.7M12	NSF14.NOVI.PM12	NSF14.NOVI.1M12	NSF22.NOVI.8M12	NSF14.NOVI.1M6	NSF14.NOVI.1M13	NSF22.NOVI.5M6	NSF22.NOVI.5M8	NSF22.NOVI.4M8	NSF14.NOVI.1M9	NSF22.NOVI.4M14	NSF22.NOVI.PM15	NSF22.NOVI.PM12	NSF22.NOVI.3M15	NSF22.NOVI.1M10	NSF22.NOVI.6M7	NSF14.NOVI.1M11	NSF22.NOVI.1M12	NSF14.NOVI.5M8	NSF6.NOVI.5M12	NSF6.NOVI.5M8	NSF6.NOVI.2M15	NSF6.NOVI.7M9	NSF6.NOVI.2M9	NSF6.NOVI.4M10	NSF6.NOVI.7M11	NSF6.NOVI.3M12	NSF14.NOVI.4M12	NSF6.NOVI.6M9	NSF14.NOVI.2M9	NSF6.NOVI.4M13	NSF6.NOVI.7M7	NSF22.NOVI.5M10	NSF14.NOVI.3M7	NSF14.NOVI.6M8	NSF14.NOVI.4M9	NSF6.NOVI.11M6	NSF6.NOVI.5M14	NSF14.NOVI.4M15	NSF6.NOVI.2M11	NSF6.NOVI.6M11	NSF6.NOVI.5M13	NSF6.NOVI.6M8	NSF6.NOVI.3M14	NSF6.NOVI.3M9	NSF6.NOVI.PM8	NSF14.NOVI.4M10	NSF6.NOVI.2M14	NSF6.NOVI.3M8	NSF6.NOVI.3M11	NSF6.NOVI.3M7	NSF14.NOVI.3M13	NSF14.NOVI.2M7	NSF6.NOVI.5M10	NSF14.NOVI.3M9	NSF14.NOVI.3M11	NSF22.NOVI.4M6	NSF6.NOVI.4M6	NSF14.NOVI.2M13	NSF14.NOVI.2M15	NSF14.NOVI.3M15	NSF14.NOVI.2M12	NSF6.NOVI.9M6	NSF22.NOVI.4M12	NSF6.NOVI.2M12	NSF6.NOVI.3M15	NSF6.NOVI.2M8	NSF6.NOVI.2M7	NSF6.NOVI.5M15	NSF6.NOVI.4M11	NSF6.NOVI.5M6	NSF6.NOVI.6M7	NSF6.NOVI.1M8	NSF6.NOVI.6M14	NSF14.NOVI.3M8	NSF6.NOVI.3M6	NSF6.NOVI.5M9	NSF14.NOVI.3M12	NSF14.NOVI.2M6	NSF6.NOVI.6M13	NSF14.NOVI.2M14	NSF6.NOVI.2M6	NSF14.NOVI.3M14	NSF6.NOVI.2M13	NSF14.NOVI.3M10	NSF6.NOVI.5M7	NSF22.NOVI.2M15	NSF6.NOVI.7M6	NSF6.NOVI.6M15	NSF6.NOVI.6M6	NSF6.NOVI.4M15	NSF6.NOVI.6M12	NSF6.NOVI.2M10	NSF6.NOVI.4M8	NSF6.NOVI.4M7	NSF22.NOVI.4M13	NSF6.NOVI.4M12	NSF14.NOVI.4M13	NSF6.NOVI.7M12	NSF22.NOVI.5M11	NSF22.NOVI.1M11	NSF6.NOVI.4M9	NSF6.NOVI.10M6	NSF6.NOVI.5M11	NSF14.NOVI.3M6	NSF6.NOVI.3M13	NSF6.NOVI.7M15	NSF14.NOVI.2M8	NSF14.NOVI.7M8	NSF14.NOVI.2M11	NSF6.NOVI.8M7	NSF6.NOVI.7M14	NSF6.NOVI.3M10	NSF14.NOVI.4M8	NSF14.NOVI.4M11	NSF6.NOVI.4M14	NSF6.NOVI.8M6	NSF14.NOVI.4M7	NSF6.NOVI.7M13
00579bd7411b49075df018e7a6367c01	0	0	0	0	0	0	0	0	5.18936877076412	0	44.641196013289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.4950166112957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00e150269ecc665d692a72b837db1043	4549.04205607477	307.953271028037	1267.73831775701	1472.52336448598	0	546.46261682243	2264.07476635514	717.144859813084	0	199.551401869159	0	1963.48130841121	644.728971962617	1905.64485981308	8939.38785046729	379.546728971963	6170.59345794392	0	52.1448598130841	1102.48130841121	787.18691588785	0	42.1308411214953	125.934579439252	1214.65887850467	7968.96261682243	184.210280373832	692.939252336449	2108.91588785047	81.5046728971963	287.663551401869	472.135514018692	364.710280373832	2657.73831775701	146.929906542056	0	1996.35046728972	242.023364485981	1208.22429906542	6474.53738317757	620.607476635514	674.070093457944	351.845794392523	321.060747663551	9266.5046728972	105.042056074766	221.626168224299	336.070093457944	66.4345794392523	386.355140186916	30.6542056074766	57.6728971962617	10758.8551401869	33674.4906542056	245.88785046729	723.995327102804	138.794392523364	3288.76635514019	1403.48598130841	271.144859813084	29.285046728972	97.5934579439252	1568.51401869159	9.21495327102804	1615.51401869159	100.757009345794	123.514018691589	340.308411214953	494.953271028037	71.7570093457944	81.0280373831776	34.892523364486	7864.42056074766	345.196261682243	3025.06074766355	139.042056074766	517.897196261682	116.107476635514	2047.38785046729	3227.71495327103	58.6542056074766	113.336448598131	2424.90654205607	2129.47196261682	2183.31775700935	774.523364485981	1614.52803738318	5199.53738317757	99.4018691588785	68.0607476635514	7.25700934579439	768.626168224299	1420.05607476636	3902.95794392523	1539.85514018692	1259.85046728972	36.6588785046729	920.098130841121	332.911214953271	317.869158878505	191.341121495327	1113.33644859813	993.532710280374	472.616822429907	0	637.546728971963	571.028037383178	828.364485981308	320.032710280374	73.6401869158879	1810.3691588785	1272.20560747664	264.728971962617	0	0	0	0	0	4258.05607476635	0	0	0	3256.67757009346	1244.93457943925	1370.01869158879	0	0	772.635514018692	1865.75700934579	0	3052.47196261682	0	0	4.63084112149533	0	0	0	0	0	1867.47663551402	4002.86448598131	0	125.331775700935	0	0	0	14.8691588785047	2683.64018691589	0	615.738317757009	5254.19158878505	3413.64018691589	0	0	219.906542056075	175.827102803738	851.658878504673	0	5050.41121495327	0	0	0	30.3504672897196	0	0	0	0	0	0	17631.8177570093	0	0	3186.23364485981	1076.73364485981	0	912.313084112149	0	6537.21962616822	54.9766355140187	0	0	36.018691588785	0	0	47.5093457943925	43.3598130841121	0	53.5140186915888	0	0	60.8551401869159	0	166.289719626168	0	1626.47196261682	6733.64018691589	1273.63551401869	0	0	1095.47663551402	0	0	291.233644859813	0	5691.97196261682	0	0	0	2279.22897196262	43054.6869158878	0	0	62.8130841121495	0
00f31abc7cdc4b21954e4dcd1f87c422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010227743a7a896e9b13b4a0b858f5ef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	628.863436123348	0	1468.15859030837	0	0	0	1885.47136563877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.5066079295154	0	0	0	0	0	0	0
0104bd43ee50519180b2940a08e495f8	0	0	0	16.6728571428571	0	12.2242857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.9557142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.26714285714286	0	0	0	0	0	0	0	3.32857142857143	0	0	0	0	0.831428571428572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010a68105932d88b4ba25e954570f1cb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3362831858407	0	0	0	0	0	0	0	39.5604719764012	0	0	0	0	0	0	0	0	0	419.554572271386	0	0	0	0	0	0	831.905604719764	0	0	9.5811209439528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.3628318584071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
020643eb1a0c7f8d60f1c1ea687f7c06	0	0	0	0	20.3172205438066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.4803625377643	0	0	0	0	0	0	0	0	0	0	0	0	457.839879154079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.5589123867069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	950.676737160121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0226e17918578c57b9c1e3c0dec2ce51	0	0	0	0	2.31566265060241	0	0	92.4506024096385	0	0	0	0	0	0	1373.10361445783	0	0	0	0	0	0	0	0	561.086746987952	150.787951807229	0	0	0	0	0	57.6867469879518	0	3839.31325301205	1089.3686746988	0	0	0	476.513253012048	0	0	1395.97108433735	52.1397590361446	0	1567.94939759036	0	0	2.72048192771084	7.70120481927711	0	0	0	0	0	1833.71084337349	0	0	67.9927710843373	0	0	6609.65542168675	133.756626506024	0	0	0	312.397590361446	0	44.9590361445783	0	0	0	0	0	0	0	0	0	0	0	0	1403.32771084337	3.18313253012048	0	0	75.2120481927711	0	0	32.6481927710843	0	0	0	0	0	48.1542168674699	342.144578313253	641.344578313253	0	0	0	0	0	0	0	7.76144578313253	27.5903614457831	0	51.5710843373494	0	152.556626506024	0	158.219277108434	1109.26265060241	0	288.190361445783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.4578313253012	0	0	0	0	16.8843373493976	117.236144578313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.6795180722891	0	0	0	0	343.265060240964	39.1614457831325	45.3036144578313	0	0	15.6506024096386	31.3831325301205	218.660240963855	101.930120481928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.0674698795181	0	0	0	0	0	0	4.90361445783132	33.3060240963855	85.7493975903614	0	0	20352.9493975904	0	0	0	0	437.86265060241	92.5204819277108	0	0	0	0	0	44.7807228915663	0	0	16.1180722891566	0	0	0
026b137ceb23fadad8d4917352470ce9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165.666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028593a9ad87a957f8d1a6b0ba550c71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
