OTU	NSF6.NOVI.1M13	NSF6.NOVI.PM12	NSF6.NOVI.PM15	NSF6.NOVI.1M14	NSF6.NOVI.1M9	NSF6.NOVI.PM13	NSF6.NOVI.1M12	NSF6.NOVI.1M15	NSF6.NOVI.PM14	NSF6.NOVI.1M6	NSF6.NOVI.PM7	NSF6.NOVI.1M10	NSF6.NOVI.1M11	NSF6.NOVI.PM6	NSF6.NOVI.PM11	NSF6.NOVI.PM9	NSF6.NOVI.1M7	NSF6.NOVI.PM10	NSF6.NOVI.5M12	NSF6.NOVI.5M8	NSF6.NOVI.2M15	NSF6.NOVI.7M9	NSF6.NOVI.2M9	NSF6.NOVI.4M10	NSF6.NOVI.7M11	NSF6.NOVI.3M12	NSF6.NOVI.6M9	NSF6.NOVI.4M13	NSF6.NOVI.7M7	NSF6.NOVI.11M6	NSF6.NOVI.5M14	NSF6.NOVI.2M11	NSF6.NOVI.6M11	NSF6.NOVI.5M13	NSF6.NOVI.6M8	NSF6.NOVI.3M14	NSF6.NOVI.3M9	NSF6.NOVI.PM8	NSF6.NOVI.2M14	NSF6.NOVI.3M8	NSF6.NOVI.3M11	NSF6.NOVI.3M7	NSF6.NOVI.5M10	NSF6.NOVI.4M6	NSF6.NOVI.9M6	NSF6.NOVI.2M12	NSF6.NOVI.3M15	NSF6.NOVI.2M8	NSF6.NOVI.2M7	NSF6.NOVI.5M15	NSF6.NOVI.4M11	NSF6.NOVI.5M6	NSF6.NOVI.6M7	NSF6.NOVI.1M8	NSF6.NOVI.6M14	NSF6.NOVI.3M6	NSF6.NOVI.5M9	NSF6.NOVI.6M13	NSF6.NOVI.2M6	NSF6.NOVI.2M13	NSF6.NOVI.5M7	NSF6.NOVI.7M6	NSF6.NOVI.6M15	NSF6.NOVI.6M6	NSF6.NOVI.4M15	NSF6.NOVI.6M12	NSF6.NOVI.2M10	NSF6.NOVI.4M8	NSF6.NOVI.4M7	NSF6.NOVI.4M12	NSF6.NOVI.7M12	NSF6.NOVI.4M9	NSF6.NOVI.10M6	NSF6.NOVI.5M11	NSF6.NOVI.3M13	NSF6.NOVI.7M15	NSF6.NOVI.8M7	NSF6.NOVI.7M14	NSF6.NOVI.3M10	NSF6.NOVI.4M14	NSF6.NOVI.8M6	NSF6.NOVI.7M13
00579bd7411b49075df018e7a6367c01	0	0	5.18936877076412	44.641196013289	0	0	0	0	0	0	0	0	13.4950166112957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00e150269ecc665d692a72b837db1043	307.953271028037	0	0	0	1963.48130841121	6170.59345794392	0	42.1308411214953	184.210280373832	0	6474.53738317757	351.845794392523	66.4345794392523	386.355140186916	97.5934579439252	1568.51401869159	9.21495327102804	3025.06074766355	0	0	0	0	4258.05607476635	0	0	0	1244.93457943925	0	0	0	0	0	0	0	0	0	1867.47663551402	4002.86448598131	125.331775700935	0	0	0	0	0	0	0	0	0	30.3504672897196	0	0	0	0	0	0	0	0	0	0	54.9766355140187	0	0	0	47.5093457943925	43.3598130841121	0	53.5140186915888	0	0	0	0	1273.63551401869	0	0	0	0	0	0	0	0	0	0
00f31abc7cdc4b21954e4dcd1f87c422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010227743a7a896e9b13b4a0b858f5ef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	628.863436123348	0	1468.15859030837	0	0	0	1885.47136563877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.5066079295154	0	0	0	0
0104bd43ee50519180b2940a08e495f8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
010a68105932d88b4ba25e954570f1cb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.3362831858407	0	0	0	0	0	0	39.5604719764012	0	0	0	0	419.554572271386	0	831.905604719764	0	0	9.5811209439528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.3628318584071	0	0	0	0	0	0	0	0	0	0	0	0
020643eb1a0c7f8d60f1c1ea687f7c06	0	20.3172205438066	0	0	0	0	0	0	32.4803625377643	0	457.839879154079	0	0	0	38.5589123867069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	950.676737160121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0226e17918578c57b9c1e3c0dec2ce51	0	2.31566265060241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.8843373493976	117.236144578313	0	0	0	0	0	0	0	0	0	0	85.6795180722891	343.265060240964	45.3036144578313	0	0	15.6506024096386	31.3831325301205	218.660240963855	101.930120481928	0	0	0	0	0	0	0	0	0	0	23.0674698795181	0	0	0	0	0	0	33.3060240963855	0	0	0	0	437.86265060241	92.5204819277108	0	0	44.7807228915663	16.1180722891566	0	0
026b137ceb23fadad8d4917352470ce9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
028593a9ad87a957f8d1a6b0ba550c71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
