"cooc_method","interaction","interactionType","Label","name","pval","selected","shared interaction","shared name","weight"
"correl_spearman","","copresence","f0a55e9c32537606a3ef89d5db7990d2->79c0c5ba22354f97c8d468f86ffb3c22","f0a55e9c32537606a3ef89d5db7990d2->79c0c5ba22354f97c8d468f86ffb3c22=correl_spearman","1.3509193763638905E-12","false","","f0a55e9c32537606a3ef89d5db7990d2->79c0c5ba22354f97c8d468f86ffb3c22=correl_spearman","0.78807584"
"correl_spearman","","copresence","f0a55e9c32537606a3ef89d5db7990d2->b5ad7876d635f58ddd5d5885f17018cd","f0a55e9c32537606a3ef89d5db7990d2->b5ad7876d635f58ddd5d5885f17018cd=correl_spearman","0.0","false","","f0a55e9c32537606a3ef89d5db7990d2->b5ad7876d635f58ddd5d5885f17018cd=correl_spearman","0.99901235"
"correl_spearman","","copresence","f0a55e9c32537606a3ef89d5db7990d2->c5978d0066223cbeedb80176af04fab3","f0a55e9c32537606a3ef89d5db7990d2->c5978d0066223cbeedb80176af04fab3=correl_spearman","2.012279676222306E-9","false","","f0a55e9c32537606a3ef89d5db7990d2->c5978d0066223cbeedb80176af04fab3=correl_spearman","0.71492035"
"correl_spearman","","copresence","f0a55e9c32537606a3ef89d5db7990d2->f47724eb0b3e3f9a78514cbbbc88add2","f0a55e9c32537606a3ef89d5db7990d2->f47724eb0b3e3f9a78514cbbbc88add2=correl_spearman","1.4934720127257606E-12","false","","f0a55e9c32537606a3ef89d5db7990d2->f47724eb0b3e3f9a78514cbbbc88add2=correl_spearman","0.78726045"
"correl_spearman","","copresence","f0a55e9c32537606a3ef89d5db7990d2->7e58dff1373d514d228b5d4c16520676","f0a55e9c32537606a3ef89d5db7990d2->7e58dff1373d514d228b5d4c16520676=correl_spearman","2.012279676222306E-9","false","","f0a55e9c32537606a3ef89d5db7990d2->7e58dff1373d514d228b5d4c16520676=correl_spearman","0.71492035"
"correl_spearman","","copresence","f0a55e9c32537606a3ef89d5db7990d2->858cb4ac7906c23ff46fbdfb0a3da294","f0a55e9c32537606a3ef89d5db7990d2->858cb4ac7906c23ff46fbdfb0a3da294=correl_spearman","2.012279676222306E-9","false","","f0a55e9c32537606a3ef89d5db7990d2->858cb4ac7906c23ff46fbdfb0a3da294=correl_spearman","0.71492035"
"correl_spearman","","copresence","f0a55e9c32537606a3ef89d5db7990d2->b5b0bad89b6f4bc83e89747237847fdc","f0a55e9c32537606a3ef89d5db7990d2->b5b0bad89b6f4bc83e89747237847fdc=correl_spearman","0.0","false","","f0a55e9c32537606a3ef89d5db7990d2->b5b0bad89b6f4bc83e89747237847fdc=correl_spearman","0.99901235"
"correl_spearman","","copresence","f0a55e9c32537606a3ef89d5db7990d2->573827786aa1312d03575ab720f37d90","f0a55e9c32537606a3ef89d5db7990d2->573827786aa1312d03575ab720f37d90=correl_spearman","7.771561172376096E-15","false","","f0a55e9c32537606a3ef89d5db7990d2->573827786aa1312d03575ab720f37d90=correl_spearman","0.82476846"
"correl_spearman","","copresence","f0a55e9c32537606a3ef89d5db7990d2->be6441ab944ce055b60c61f9a4cb4c34","f0a55e9c32537606a3ef89d5db7990d2->be6441ab944ce055b60c61f9a4cb4c34=correl_spearman","2.012279676222306E-9","false","","f0a55e9c32537606a3ef89d5db7990d2->be6441ab944ce055b60c61f9a4cb4c34=correl_spearman","0.71492035"
"correl_spearman","","copresence","f0a55e9c32537606a3ef89d5db7990d2->f908d6b2d3dab6ecf46df2bc105b9eab","f0a55e9c32537606a3ef89d5db7990d2->f908d6b2d3dab6ecf46df2bc105b9eab=correl_spearman","1.0835776720341528E-13","false","","f0a55e9c32537606a3ef89d5db7990d2->f908d6b2d3dab6ecf46df2bc105b9eab=correl_spearman","0.80723754"
