"cooc_method","interaction","interactionType","Label","name","pval","selected","shared interaction","shared name","weight"
"correl_spearman","","copresence","e8dd37d81f4b2e7ee12fceceae7ec6ac->b3fa3495b48bd1ade22161a7e93c51d0","e8dd37d81f4b2e7ee12fceceae7ec6ac->b3fa3495b48bd1ade22161a7e93c51d0=correl_spearman","1.736627227547638E-4","false","","e8dd37d81f4b2e7ee12fceceae7ec6ac->b3fa3495b48bd1ade22161a7e93c51d0=correl_spearman","0.72760688"
"correl_spearman","","copresence","de3055f9c82028971556a1d9c2644af6->7e3e78545651380b1d61f52fa91259fa","de3055f9c82028971556a1d9c2644af6->7e3e78545651380b1d61f52fa91259fa=correl_spearman","2.93830844326215E-4","false","","de3055f9c82028971556a1d9c2644af6->7e3e78545651380b1d61f52fa91259fa=correl_spearman","0.71015331"
"correl_spearman","","copresence","80a15949bdc9de77a5bd2ee0cfeb6bb2->e59263bb85077ce53df75c4f7474e8a0","80a15949bdc9de77a5bd2ee0cfeb6bb2->e59263bb85077ce53df75c4f7474e8a0=correl_spearman","7.306140798890581E-5","false","","80a15949bdc9de77a5bd2ee0cfeb6bb2->e59263bb85077ce53df75c4f7474e8a0=correl_spearman","0.75329429"
"correl_spearman","","copresence","ce0944243c4eccb6a861497a579f64d1->6488f96c2848262a4b91f19fe95ef055","ce0944243c4eccb6a861497a579f64d1->6488f96c2848262a4b91f19fe95ef055=correl_spearman","3.0295215389564145E-4","false","","ce0944243c4eccb6a861497a579f64d1->6488f96c2848262a4b91f19fe95ef055=correl_spearman","0.70909091"
"correl_spearman","","copresence","df8496229917f3c6d99a6513153f92aa->b3ef80b1b40f88151e8fed00e2484444","df8496229917f3c6d99a6513153f92aa->b3ef80b1b40f88151e8fed00e2484444=correl_spearman","3.471011340743235E-4","false","","df8496229917f3c6d99a6513153f92aa->b3ef80b1b40f88151e8fed00e2484444=correl_spearman","0.70429596"
"correl_spearman","","copresence","7e3e78545651380b1d61f52fa91259fa->c47dd021afe1fe12ae85d2035b565822","7e3e78545651380b1d61f52fa91259fa->c47dd021afe1fe12ae85d2035b565822=correl_spearman","1.5700633835269429E-6","false","","7e3e78545651380b1d61f52fa91259fa->c47dd021afe1fe12ae85d2035b565822=correl_spearman","0.8347425"
"correl_spearman","","copresence","3e25658ececdb6c238cc37cfd894e96d->8e9d9e676c8e562d03b4cf5f1479f1b2","3e25658ececdb6c238cc37cfd894e96d->8e9d9e676c8e562d03b4cf5f1479f1b2=correl_spearman","1.736627227547638E-4","false","","3e25658ececdb6c238cc37cfd894e96d->8e9d9e676c8e562d03b4cf5f1479f1b2=correl_spearman","0.72760688"
"correl_spearman","","copresence","b2592d541d9f2c9646335251acd88e0c->b3fa3495b48bd1ade22161a7e93c51d0","b2592d541d9f2c9646335251acd88e0c->b3fa3495b48bd1ade22161a7e93c51d0=correl_spearman","1.736627227547638E-4","false","","b2592d541d9f2c9646335251acd88e0c->b3fa3495b48bd1ade22161a7e93c51d0=correl_spearman","0.72760688"
"correl_spearman","","copresence","8340610a1b8e204cb4463c7599e7cf75->dd8e42ae13b1a9dd7135cee32a1b6ef1","8340610a1b8e204cb4463c7599e7cf75->dd8e42ae13b1a9dd7135cee32a1b6ef1=correl_spearman","3.3337405040323453E-4","false","","8340610a1b8e204cb4463c7599e7cf75->dd8e42ae13b1a9dd7135cee32a1b6ef1=correl_spearman","0.70572975"
"correl_spearman","","copresence","3305240d105f928b8fdaff57e717ab57->2e1f22e0ab1c9ca2f846cdc80b5b2218","3305240d105f928b8fdaff57e717ab57->2e1f22e0ab1c9ca2f846cdc80b5b2218=correl_spearman","3.3337405040323453E-4","false","","3305240d105f928b8fdaff57e717ab57->2e1f22e0ab1c9ca2f846cdc80b5b2218=correl_spearman","0.70572975"
