"cooc_method","interaction","interactionType","Label","name","pval","selected","shared interaction","shared name","weight"
"correl_spearman","","copresence","258ae21ca79e2644f37d4c3119801fed->2d47f74ecc2acaf586bfc1c17ffce3a2","258ae21ca79e2644f37d4c3119801fed->2d47f74ecc2acaf586bfc1c17ffce3a2=correl_spearman","0.0","false","","258ae21ca79e2644f37d4c3119801fed->2d47f74ecc2acaf586bfc1c17ffce3a2=correl_spearman","1.0"
"correl_spearman","","copresence","c80fd3c4c9da50979fc3b8927d9291fd->c0fc770c5761c180f6a26f5fc263ee1b","c80fd3c4c9da50979fc3b8927d9291fd->c0fc770c5761c180f6a26f5fc263ee1b=correl_spearman","1.9042545318370685E-12","false","","c80fd3c4c9da50979fc3b8927d9291fd->c0fc770c5761c180f6a26f5fc263ee1b=correl_spearman","0.82547662"
"correl_spearman","","mutualExclusion","ceeaa05c3682b56bfff922311a6f6923->c289edb2e38226bfdf611552375c6fee","ceeaa05c3682b56bfff922311a6f6923->c289edb2e38226bfdf611552375c6fee=correl_spearman","1.788554859771807E-9","false","","ceeaa05c3682b56bfff922311a6f6923->c289edb2e38226bfdf611552375c6fee=correl_spearman","-0.76063907"
"correl_spearman","","copresence","8ca858cde2e0abbcbaa81af077d04360->d365ee3ab244a7cde3fbd13e2b3c2f3e","8ca858cde2e0abbcbaa81af077d04360->d365ee3ab244a7cde3fbd13e2b3c2f3e=correl_spearman","7.239098209765871E-12","false","","8ca858cde2e0abbcbaa81af077d04360->d365ee3ab244a7cde3fbd13e2b3c2f3e=correl_spearman","0.81490897"
"correl_spearman","","copresence","a5ad3dc78a966b30ef60813dffc315a7->9ed020f4a977c75ab7d83981f65bceff","a5ad3dc78a966b30ef60813dffc315a7->9ed020f4a977c75ab7d83981f65bceff=correl_spearman","8.634851389466291E-9","false","","a5ad3dc78a966b30ef60813dffc315a7->9ed020f4a977c75ab7d83981f65bceff=correl_spearman","0.74108608"
"correl_spearman","","copresence","7e55c04282ba43c9f2a909e08cca1698->2476d04dcac08f92264ce5604e1b1624","7e55c04282ba43c9f2a909e08cca1698->2476d04dcac08f92264ce5604e1b1624=correl_spearman","2.5193349628693795E-8","false","","7e55c04282ba43c9f2a909e08cca1698->2476d04dcac08f92264ce5604e1b1624=correl_spearman","0.72646842"
"correl_spearman","","copresence","c31062a81ff5a138684d99a2266a3ece->6a49b952473bfc3854eea1124c7b94bb","c31062a81ff5a138684d99a2266a3ece->6a49b952473bfc3854eea1124c7b94bb=correl_spearman","1.0650637682907416E-7","false","","c31062a81ff5a138684d99a2266a3ece->6a49b952473bfc3854eea1124c7b94bb=correl_spearman","0.70484567"
"correl_spearman","","copresence","87422f2c0f25f2619d124bf00db577ec->0226e17918578c57b9c1e3c0dec2ce51","87422f2c0f25f2619d124bf00db577ec->0226e17918578c57b9c1e3c0dec2ce51=correl_spearman","2.6452794288367443E-8","false","","87422f2c0f25f2619d124bf00db577ec->0226e17918578c57b9c1e3c0dec2ce51=correl_spearman","0.72577463"
"correl_spearman","","copresence","c50eb2895d9c4efbbb36853c7b99a73b->c882ad324fc09eb794a7002795673b22","c50eb2895d9c4efbbb36853c7b99a73b->c882ad324fc09eb794a7002795673b22=correl_spearman","9.38865483135487E-8","false","","c50eb2895d9c4efbbb36853c7b99a73b->c882ad324fc09eb794a7002795673b22=correl_spearman","0.70683414"
"correl_spearman","","copresence","c50eb2895d9c4efbbb36853c7b99a73b->d7480d6168032b229fec534783eeaa0e","c50eb2895d9c4efbbb36853c7b99a73b->d7480d6168032b229fec534783eeaa0e=correl_spearman","2.4906150253301007E-8","false","","c50eb2895d9c4efbbb36853c7b99a73b->d7480d6168032b229fec534783eeaa0e=correl_spearman","0.72663112"
"correl_spearman","","copresence","37cf8620867a26954b4253998ec98fd5->09c7eaf574b4e5a669e167762dc58d1a","37cf8620867a26954b4253998ec98fd5->09c7eaf574b4e5a669e167762dc58d1a=correl_spearman","0.0","false","","37cf8620867a26954b4253998ec98fd5->09c7eaf574b4e5a669e167762dc58d1a=correl_spearman","1.0"
"correl_spearman","","copresence","8352918c11b512230b14ed21f6a1341c->06f0739e32f0ad31404affc34baa8a47","8352918c11b512230b14ed21f6a1341c->06f0739e32f0ad31404affc34baa8a47=correl_spearman","0.0","false","","8352918c11b512230b14ed21f6a1341c->06f0739e32f0ad31404affc34baa8a47=correl_spearman","1.0"
"correl_spearman","","copresence","9f7b26b2ddcb84eb2148492ccd223d83->41bb9444876ff6653201c32dd946436c","9f7b26b2ddcb84eb2148492ccd223d83->41bb9444876ff6653201c32dd946436c=correl_spearman","6.957870279933331E-9","false","","9f7b26b2ddcb84eb2148492ccd223d83->41bb9444876ff6653201c32dd946436c=correl_spearman","0.74389857"
